run 0: 0.158866 sec, result=67108864.000000
run 1: 0.233058 sec, result=67108864.000000
run 2: 0.173520 sec, result=67108864.000000
run 3: 0.159990 sec, result=67108864.000000
run 4: 0.185031 sec, result=67108864.000000
run 5: 0.172831 sec, result=67108864.000000
run 6: 0.173049 sec, result=67108864.000000
run 7: 0.176951 sec, result=67108864.000000
run 8: 0.175360 sec, result=67108864.000000
run 9: 0.163360 sec, result=67108864.000000
run 10: 0.175058 sec, result=67108864.000000
run 11: 0.160289 sec, result=67108864.000000
run 12: 0.159846 sec, result=67108864.000000
run 13: 0.211865 sec, result=67108864.000000
run 14: 0.177276 sec, result=67108864.000000
run 15: 0.170116 sec, result=67108864.000000
run 16: 0.166907 sec, result=67108864.000000
run 17: 0.161285 sec, result=67108864.000000
run 18: 0.177273 sec, result=67108864.000000
run 19: 0.202612 sec, result=67108864.000000

N: 300000000 <T>: 0.176253 sec  <B>: 12.681648 GB/sec  <F>: 3.404204 GFLOP/sec
