run 145: 0.001420 sec, result=1000000.000000
run 146: 0.001211 sec, result=1000000.000000
run 147: 0.001156 sec, result=1000000.000000
run 148: 0.001142 sec, result=1000000.000000
run 149: 0.001058 sec, result=1000000.000000
run 150: 0.001042 sec, result=1000000.000000
run 151: 0.001153 sec, result=1000000.000000
run 152: 0.001035 sec, result=1000000.000000
run 153: 0.000946 sec, result=1000000.000000
run 154: 0.001006 sec, result=1000000.000000
run 155: 0.000895 sec, result=1000000.000000
run 156: 0.001124 sec, result=1000000.000000
run 157: 0.000920 sec, result=1000000.000000
run 158: 0.001081 sec, result=1000000.000000
run 159: 0.000668 sec, result=1000000.000000
run 160: 0.000627 sec, result=1000000.000000
run 161: 0.000751 sec, result=1000000.000000
run 162: 0.001268 sec, result=1000000.000000
run 163: 0.001186 sec, result=1000000.000000
run 164: 0.000686 sec, result=1000000.000000
run 165: 0.000659 sec, result=1000000.000000
run 166: 0.000619 sec, result=1000000.000000
run 167: 0.000600 sec, result=1000000.000000
run 168: 0.000598 sec, result=1000000.000000
run 169: 0.000670 sec, result=1000000.000000
run 170: 0.000622 sec, result=1000000.000000
run 171: 0.000629 sec, result=1000000.000000
run 172: 0.000641 sec, result=1000000.000000
run 173: 0.000615 sec, result=1000000.000000
run 174: 0.000612 sec, result=1000000.000000
run 175: 0.000629 sec, result=1000000.000000
run 176: 0.000639 sec, result=1000000.000000
run 177: 0.000610 sec, result=1000000.000000
run 178: 0.000887 sec, result=1000000.000000
run 179: 0.001046 sec, result=1000000.000000
run 180: 0.001027 sec, result=1000000.000000
run 181: 0.000855 sec, result=1000000.000000
run 182: 0.000613 sec, result=1000000.000000
run 183: 0.000616 sec, result=1000000.000000
run 184: 0.000909 sec, result=1000000.000000
run 185: 0.001435 sec, result=1000000.000000
run 186: 0.000705 sec, result=1000000.000000
run 187: 0.000692 sec, result=1000000.000000
run 188: 0.000645 sec, result=1000000.000000
run 189: 0.000622 sec, result=1000000.000000
run 190: 0.000653 sec, result=1000000.000000
run 191: 0.000647 sec, result=1000000.000000
run 192: 0.000644 sec, result=1000000.000000
run 193: 0.000643 sec, result=1000000.000000
run 194: 0.001062 sec, result=1000000.000000
run 195: 0.001283 sec, result=1000000.000000
run 196: 0.001505 sec, result=1000000.000000
run 197: 0.000865 sec, result=1000000.000000
run 198: 0.000632 sec, result=1000000.000000
run 199: 0.000645 sec, result=1000000.000000
run 200: 0.000680 sec, result=1000000.000000
run 201: 0.000680 sec, result=1000000.000000
run 202: 0.000677 sec, result=1000000.000000
run 203: 0.000995 sec, result=1000000.000000
run 204: 0.001568 sec, result=1000000.000000
run 205: 0.002955 sec, result=1000000.000000
run 206: 0.003129 sec, result=1000000.000000
run 207: 0.001464 sec, result=1000000.000000
run 208: 0.002155 sec, result=1000000.000000
run 209: 0.002208 sec, result=1000000.000000
run 210: 0.002575 sec, result=1000000.000000
run 211: 0.002231 sec, result=1000000.000000
run 212: 0.002766 sec, result=1000000.000000
run 213: 0.002506 sec, result=1000000.000000
run 214: 0.002784 sec, result=1000000.000000
run 215: 0.002662 sec, result=1000000.000000
run 216: 0.002523 sec, result=1000000.000000
run 217: 0.001977 sec, result=1000000.000000
run 218: 0.002115 sec, result=1000000.000000
run 219: 0.002309 sec, result=1000000.000000
run 220: 0.002216 sec, result=1000000.000000
run 221: 0.001336 sec, result=1000000.000000
run 222: 0.001066 sec, result=1000000.000000
run 223: 0.000767 sec, result=1000000.000000
run 224: 0.001073 sec, result=1000000.000000
run 225: 0.000771 sec, result=1000000.000000
run 226: 0.000978 sec, result=1000000.000000
run 227: 0.000693 sec, result=1000000.000000
run 228: 0.000590 sec, result=1000000.000000
run 229: 0.000591 sec, result=1000000.000000
run 230: 0.000592 sec, result=1000000.000000
run 231: 0.000571 sec, result=1000000.000000
run 232: 0.000632 sec, result=1000000.000000
run 233: 0.001012 sec, result=1000000.000000
run 234: 0.001250 sec, result=1000000.000000
run 235: 0.000664 sec, result=1000000.000000
run 236: 0.000613 sec, result=1000000.000000
run 237: 0.000617 sec, result=1000000.000000
run 238: 0.000609 sec, result=1000000.000000
run 239: 0.000592 sec, result=1000000.000000
run 240: 0.000886 sec, result=1000000.000000
run 241: 0.000895 sec, result=1000000.000000
run 242: 0.000987 sec, result=1000000.000000
run 243: 0.000773 sec, result=1000000.000000
run 244: 0.000583 sec, result=1000000.000000
run 245: 0.000582 sec, result=1000000.000000
run 246: 0.000566 sec, result=1000000.000000
run 247: 0.000566 sec, result=1000000.000000
run 248: 0.000569 sec, result=1000000.000000
run 249: 0.000557 sec, result=1000000.000000
run 250: 0.000563 sec, result=1000000.000000
run 251: 0.000569 sec, result=1000000.000000
run 252: 0.000577 sec, result=1000000.000000
run 253: 0.000559 sec, result=1000000.000000
run 254: 0.000555 sec, result=1000000.000000
run 255: 0.000552 sec, result=1000000.000000
run 256: 0.000548 sec, result=1000000.000000
run 257: 0.000629 sec, result=1000000.000000
run 258: 0.001185 sec, result=1000000.000000
run 259: 0.001216 sec, result=1000000.000000
run 260: 0.000656 sec, result=1000000.000000
run 261: 0.000619 sec, result=1000000.000000
run 262: 0.000611 sec, result=1000000.000000
run 263: 0.000604 sec, result=1000000.000000
run 264: 0.000605 sec, result=1000000.000000
run 265: 0.000615 sec, result=1000000.000000
run 266: 0.000660 sec, result=1000000.000000
run 267: 0.000607 sec, result=1000000.000000
run 268: 0.000599 sec, result=1000000.000000
run 269: 0.001046 sec, result=1000000.000000
run 270: 0.000855 sec, result=1000000.000000
run 271: 0.001102 sec, result=1000000.000000
run 272: 0.000680 sec, result=1000000.000000
run 273: 0.000578 sec, result=1000000.000000
run 274: 0.000568 sec, result=1000000.000000
run 275: 0.000573 sec, result=1000000.000000
run 276: 0.000593 sec, result=1000000.000000
run 277: 0.000592 sec, result=1000000.000000
run 278: 0.000591 sec, result=1000000.000000
run 279: 0.000585 sec, result=1000000.000000
run 280: 0.000626 sec, result=1000000.000000
run 281: 0.001101 sec, result=1000000.000000
run 282: 0.001096 sec, result=1000000.000000
run 283: 0.000685 sec, result=1000000.000000
run 284: 0.000721 sec, result=1000000.000000
run 285: 0.000754 sec, result=1000000.000000
run 286: 0.000718 sec, result=1000000.000000
run 287: 0.000655 sec, result=1000000.000000
run 288: 0.000866 sec, result=1000000.000000
run 289: 0.001075 sec, result=1000000.000000
run 290: 0.000970 sec, result=1000000.000000
run 291: 0.000984 sec, result=1000000.000000
run 292: 0.000614 sec, result=1000000.000000
run 293: 0.000597 sec, result=1000000.000000
run 294: 0.000813 sec, result=1000000.000000
run 295: 0.000879 sec, result=1000000.000000
run 296: 0.000903 sec, result=1000000.000000
run 297: 0.001137 sec, result=1000000.000000
run 298: 0.001095 sec, result=1000000.000000
run 299: 0.000831 sec, result=1000000.000000
run 300: 0.001061 sec, result=1000000.000000
run 301: 0.001497 sec, result=1000000.000000
run 302: 0.000677 sec, result=1000000.000000
run 303: 0.000699 sec, result=1000000.000000
run 304: 0.000708 sec, result=1000000.000000
run 305: 0.000996 sec, result=1000000.000000
run 306: 0.001015 sec, result=1000000.000000
run 307: 0.001038 sec, result=1000000.000000
run 308: 0.000976 sec, result=1000000.000000
run 309: 0.001149 sec, result=1000000.000000
run 310: 0.000972 sec, result=1000000.000000
run 311: 0.001067 sec, result=1000000.000000
run 312: 0.001065 sec, result=1000000.000000
run 313: 0.001209 sec, result=1000000.000000
run 314: 0.001108 sec, result=1000000.000000
run 315: 0.000910 sec, result=1000000.000000
run 316: 0.000848 sec, result=1000000.000000
run 317: 0.000886 sec, result=1000000.000000
run 318: 0.001434 sec, result=1000000.000000
run 319: 0.001176 sec, result=1000000.000000
run 320: 0.001182 sec, result=1000000.000000
run 321: 0.001092 sec, result=1000000.000000
run 322: 0.000876 sec, result=1000000.000000
run 323: 0.000766 sec, result=1000000.000000
run 324: 0.000652 sec, result=1000000.000000
run 325: 0.000662 sec, result=1000000.000000
run 326: 0.000683 sec, result=1000000.000000
run 327: 0.001417 sec, result=1000000.000000
run 328: 0.001224 sec, result=1000000.000000
run 329: 0.001106 sec, result=1000000.000000
run 330: 0.001115 sec, result=1000000.000000
run 331: 0.001099 sec, result=1000000.000000
run 332: 0.001537 sec, result=1000000.000000
run 333: 0.001946 sec, result=1000000.000000
run 334: 0.001140 sec, result=1000000.000000
run 335: 0.001401 sec, result=1000000.000000
run 336: 0.001139 sec, result=1000000.000000
run 337: 0.001806 sec, result=1000000.000000
run 338: 0.001627 sec, result=1000000.000000
run 339: 0.001514 sec, result=1000000.000000
run 340: 0.001548 sec, result=1000000.000000
run 341: 0.001482 sec, result=1000000.000000
run 342: 0.000978 sec, result=1000000.000000
run 343: 0.000930 sec, result=1000000.000000
run 344: 0.000795 sec, result=1000000.000000
run 345: 0.000864 sec, result=1000000.000000
run 346: 0.001227 sec, result=1000000.000000
run 347: 0.001167 sec, result=1000000.000000
run 348: 0.000934 sec, result=1000000.000000
run 349: 0.001143 sec, result=1000000.000000
run 350: 0.000702 sec, result=1000000.000000
run 351: 0.001225 sec, result=1000000.000000
run 352: 0.001280 sec, result=1000000.000000
run 353: 0.000716 sec, result=1000000.000000
run 354: 0.001287 sec, result=1000000.000000
run 355: 0.000994 sec, result=1000000.000000
run 356: 0.001348 sec, result=1000000.000000
run 357: 0.001277 sec, result=1000000.000000
