run 0: 0.000896 sec, result=1000000.000000
run 1: 0.000886 sec, result=1000000.000000
run 2: 0.000537 sec, result=1000000.000000
run 3: 0.000705 sec, result=1000000.000000
run 4: 0.000587 sec, result=1000000.000000
run 5: 0.000332 sec, result=1000000.000000
run 6: 0.000280 sec, result=1000000.000000
run 7: 0.000271 sec, result=1000000.000000
run 8: 0.000268 sec, result=1000000.000000
run 9: 0.000272 sec, result=1000000.000000
run 10: 0.000267 sec, result=1000000.000000
run 11: 0.000274 sec, result=1000000.000000
run 12: 0.000267 sec, result=1000000.000000
run 13: 0.000277 sec, result=1000000.000000
run 14: 0.000270 sec, result=1000000.000000
run 15: 0.000275 sec, result=1000000.000000
run 16: 0.000278 sec, result=1000000.000000
run 17: 0.000273 sec, result=1000000.000000
run 18: 0.000279 sec, result=1000000.000000
run 19: 0.000270 sec, result=1000000.000000
run 20: 0.000283 sec, result=1000000.000000
run 21: 0.000275 sec, result=1000000.000000
run 22: 0.000277 sec, result=1000000.000000
run 23: 0.000274 sec, result=1000000.000000
run 24: 0.000270 sec, result=1000000.000000
run 25: 0.000273 sec, result=1000000.000000
run 26: 0.000332 sec, result=1000000.000000
run 27: 0.000627 sec, result=1000000.000000
run 28: 0.001035 sec, result=1000000.000000
run 29: 0.000720 sec, result=1000000.000000
run 30: 0.000488 sec, result=1000000.000000
run 31: 0.000366 sec, result=1000000.000000
run 32: 0.000316 sec, result=1000000.000000
run 33: 0.000313 sec, result=1000000.000000
run 34: 0.000307 sec, result=1000000.000000
run 35: 0.000332 sec, result=1000000.000000
run 36: 0.000333 sec, result=1000000.000000
run 37: 0.000308 sec, result=1000000.000000
run 38: 0.000288 sec, result=1000000.000000
run 39: 0.000289 sec, result=1000000.000000
run 40: 0.000321 sec, result=1000000.000000
run 41: 0.000655 sec, result=1000000.000000
run 42: 0.000806 sec, result=1000000.000000
run 43: 0.000444 sec, result=1000000.000000
run 44: 0.000603 sec, result=1000000.000000
run 45: 0.000782 sec, result=1000000.000000
run 46: 0.000427 sec, result=1000000.000000
run 47: 0.000311 sec, result=1000000.000000
run 48: 0.000287 sec, result=1000000.000000
run 49: 0.000278 sec, result=1000000.000000
run 50: 0.000271 sec, result=1000000.000000
