run 0: 0.259527 sec, result=16777216.000000
run 1: 0.253013 sec, result=16777216.000000
run 2: 0.250643 sec, result=16777216.000000
run 3: 0.238949 sec, result=16777216.000000
run 4: 0.240135 sec, result=16777216.000000
run 5: 0.251803 sec, result=16777216.000000
run 6: 0.247618 sec, result=16777216.000000
run 7: 0.236411 sec, result=16777216.000000
run 8: 0.239802 sec, result=16777216.000000
run 9: 0.252714 sec, result=16777216.000000
run 10: 0.244520 sec, result=16777216.000000
run 11: 0.236340 sec, result=16777216.000000
run 12: 0.243786 sec, result=16777216.000000
run 13: 0.254788 sec, result=16777216.000000
run 14: 0.246817 sec, result=16777216.000000
run 15: 0.235405 sec, result=16777216.000000
run 16: 0.238790 sec, result=16777216.000000
run 17: 0.248168 sec, result=16777216.000000
run 18: 0.244280 sec, result=16777216.000000
run 19: 0.232961 sec, result=16777216.000000

N: 300000000 <T>: 0.242585 sec  <B>: 9.213970 GB/sec  <F>: 2.473356 GFLOP/sec
