run 0: 0.181581 sec, result=1000000.000000
run 1: 0.000219 sec, result=1000000.000000
run 2: 0.000137 sec, result=1000000.000000
run 3: 0.000088 sec, result=1000000.000000
run 4: 0.000083 sec, result=1000000.000000
run 5: 0.000096 sec, result=1000000.000000
run 6: 0.000088 sec, result=1000000.000000
run 7: 0.000112 sec, result=1000000.000000
run 8: 0.000084 sec, result=1000000.000000
run 9: 0.000083 sec, result=1000000.000000
run 10: 0.000083 sec, result=1000000.000000
run 11: 0.000110 sec, result=1000000.000000
run 12: 0.000096 sec, result=1000000.000000
run 13: 0.000084 sec, result=1000000.000000
run 14: 0.000082 sec, result=1000000.000000
run 15: 0.000086 sec, result=1000000.000000
run 16: 0.000091 sec, result=1000000.000000
run 17: 0.000096 sec, result=1000000.000000
run 18: 0.000139 sec, result=1000000.000000
run 19: 0.000084 sec, result=1000000.000000
run 20: 0.000083 sec, result=1000000.000000
run 21: 0.000105 sec, result=1000000.000000
run 22: 0.000090 sec, result=1000000.000000
run 23: 0.000083 sec, result=1000000.000000
run 24: 0.000083 sec, result=1000000.000000
run 25: 0.000082 sec, result=1000000.000000
run 26: 0.000089 sec, result=1000000.000000
run 27: 0.000088 sec, result=1000000.000000
run 28: 0.000085 sec, result=1000000.000000
run 29: 0.000152 sec, result=1000000.000000
run 30: 0.000126 sec, result=1000000.000000
run 31: 0.000111 sec, result=1000000.000000
run 32: 0.000102 sec, result=1000000.000000
run 33: 0.000088 sec, result=1000000.000000
run 34: 0.000083 sec, result=1000000.000000
run 35: 0.000083 sec, result=1000000.000000
run 36: 0.000163 sec, result=1000000.000000
run 37: 0.000153 sec, result=1000000.000000
run 38: 0.000149 sec, result=1000000.000000
run 39: 0.000093 sec, result=1000000.000000
run 40: 0.000098 sec, result=1000000.000000
run 41: 0.000084 sec, result=1000000.000000
run 42: 0.000083 sec, result=1000000.000000
run 43: 0.000090 sec, result=1000000.000000
run 44: 0.000093 sec, result=1000000.000000
run 45: 0.000093 sec, result=1000000.000000
run 46: 0.000087 sec, result=1000000.000000
run 47: 0.000092 sec, result=1000000.000000
run 48: 0.000083 sec, result=1000000.000000
run 49: 0.000083 sec, result=1000000.000000
run 50: 0.000091 sec, result=1000000.000000
run 51: 0.000109 sec, result=1000000.000000
run 52: 0.000087 sec, result=1000000.000000
run 53: 0.000084 sec, result=1000000.000000
run 54: 0.000083 sec, result=1000000.000000
run 55: 0.000085 sec, result=1000000.000000
run 56: 0.000092 sec, result=1000000.000000
run 57: 0.000087 sec, result=1000000.000000
run 58: 0.000090 sec, result=1000000.000000
run 59: 0.000083 sec, result=1000000.000000
run 60: 0.000083 sec, result=1000000.000000
run 61: 0.000083 sec, result=1000000.000000
run 62: 0.000109 sec, result=1000000.000000
run 63: 0.000083 sec, result=1000000.000000
run 64: 0.000089 sec, result=1000000.000000
run 65: 0.000102 sec, result=1000000.000000
run 66: 0.000085 sec, result=1000000.000000
run 67: 0.000088 sec, result=1000000.000000
run 68: 0.000084 sec, result=1000000.000000
run 69: 0.000089 sec, result=1000000.000000
run 70: 0.000088 sec, result=1000000.000000
run 71: 0.000084 sec, result=1000000.000000
run 72: 0.000083 sec, result=1000000.000000
run 73: 0.000096 sec, result=1000000.000000
run 74: 0.000083 sec, result=1000000.000000
run 75: 0.000084 sec, result=1000000.000000
run 76: 0.000083 sec, result=1000000.000000
run 77: 0.000083 sec, result=1000000.000000
run 78: 0.000090 sec, result=1000000.000000
run 79: 0.000083 sec, result=1000000.000000
run 80: 0.000083 sec, result=1000000.000000
run 81: 0.000091 sec, result=1000000.000000
run 82: 0.000084 sec, result=1000000.000000
run 83: 0.000084 sec, result=1000000.000000
run 84: 0.000084 sec, result=1000000.000000
run 85: 0.000094 sec, result=1000000.000000
run 86: 0.000083 sec, result=1000000.000000
run 87: 0.000084 sec, result=1000000.000000
run 88: 0.000083 sec, result=1000000.000000
run 89: 0.000084 sec, result=1000000.000000
run 90: 0.000088 sec, result=1000000.000000
run 91: 0.000092 sec, result=1000000.000000
run 92: 0.000088 sec, result=1000000.000000
run 93: 0.000098 sec, result=1000000.000000
run 94: 0.000101 sec, result=1000000.000000
run 95: 0.000117 sec, result=1000000.000000
run 96: 0.000099 sec, result=1000000.000000
run 97: 0.000085 sec, result=1000000.000000
run 98: 0.000084 sec, result=1000000.000000
run 99: 0.000086 sec, result=1000000.000000
run 100: 0.000188 sec, result=1000000.000000
run 101: 0.000191 sec, result=1000000.000000
run 102: 0.000085 sec, result=1000000.000000
run 103: 0.000083 sec, result=1000000.000000
run 104: 0.000112 sec, result=1000000.000000
run 105: 0.000117 sec, result=1000000.000000
run 106: 0.000085 sec, result=1000000.000000
run 107: 0.000082 sec, result=1000000.000000
run 108: 0.000094 sec, result=1000000.000000
run 109: 0.000085 sec, result=1000000.000000
run 110: 0.000136 sec, result=1000000.000000
run 111: 0.000114 sec, result=1000000.000000
run 112: 0.000088 sec, result=1000000.000000
run 113: 0.000082 sec, result=1000000.000000
run 114: 0.000095 sec, result=1000000.000000
run 115: 0.000083 sec, result=1000000.000000
run 116: 0.000083 sec, result=1000000.000000
run 117: 0.000083 sec, result=1000000.000000
run 118: 0.000084 sec, result=1000000.000000
run 119: 0.000090 sec, result=1000000.000000
run 120: 0.000083 sec, result=1000000.000000
run 121: 0.000226 sec, result=1000000.000000
run 122: 0.000092 sec, result=1000000.000000
run 123: 0.000100 sec, result=1000000.000000
run 124: 0.000086 sec, result=1000000.000000
run 125: 0.000082 sec, result=1000000.000000
run 126: 0.000083 sec, result=1000000.000000
run 127: 0.000082 sec, result=1000000.000000
run 128: 0.000158 sec, result=1000000.000000
run 129: 0.000144 sec, result=1000000.000000
run 130: 0.000123 sec, result=1000000.000000
run 131: 0.000087 sec, result=1000000.000000
run 132: 0.000093 sec, result=1000000.000000
run 133: 0.000111 sec, result=1000000.000000
run 134: 0.000086 sec, result=1000000.000000
run 135: 0.000084 sec, result=1000000.000000
run 136: 0.000085 sec, result=1000000.000000
run 137: 0.000172 sec, result=1000000.000000
run 138: 0.000087 sec, result=1000000.000000
run 139: 0.000092 sec, result=1000000.000000
run 140: 0.000083 sec, result=1000000.000000
run 141: 0.000083 sec, result=1000000.000000
run 142: 0.000083 sec, result=1000000.000000
run 143: 0.000096 sec, result=1000000.000000
run 144: 0.000084 sec, result=1000000.000000
run 145: 0.000083 sec, result=1000000.000000
run 146: 0.000084 sec, result=1000000.000000
run 147: 0.000091 sec, result=1000000.000000
run 148: 0.000090 sec, result=1000000.000000
